competition_level,simulation_id,policy,efficiency_score,overall_match_rate,total_rounds,policy_matches,policy_unmatches,policy_total_agents,policy_match_rate,avg_quality,avg_rounds_matched,avg_rounds_all
Competition 0.5,26,Threshold_6,0.9487468401081434,1.0,40,5,0,5,1.0,8.698529187338169,1.2,1.2
Competition 0.5,26,Threshold_8,0.9487468401081434,1.0,40,5,0,5,1.0,9.182198449464881,6.2,6.2
Competition 0.5,26,Optimal_Stopping,0.9487468401081434,1.0,40,5,0,5,1.0,6.231151129266286,20.6,20.6
Competition 0.5,27,Greedy,0.8865208677045502,1.0,40,5,0,5,1.0,3.9679980297048814,1.0,1.0
Competition 0.5,27,Threshold_6,0.8865208677045502,1.0,40,5,0,5,1.0,7.8932704628259645,1.2,1.2
Competition 0.5,27,Threshold_8,0.8865208677045502,1.0,40,5,0,5,1.0,9.294169811183021,8.2,8.2
Competition 0.5,27,Optimal_Stopping,0.8865208677045502,1.0,40,5,0,5,1.0,6.751907756975852,30.6,30.6
Competition 0.5,28,Greedy,0.8792071636590901,1.0,40,5,0,5,1.0,5.090469086637965,1.0,1.0
Competition 0.5,28,Threshold_6,0.8792071636590901,1.0,40,5,0,5,1.0,7.694243310465147,2.8,2.8
Competition 0.5,28,Threshold_8,0.8792071636590901,1.0,40,5,0,5,1.0,5.894957942426963,32.4,32.4
Competition 0.5,28,Optimal_Stopping,0.8792071636590901,1.0,40,5,0,5,1.0,5.313732781662562,33.6,33.6
Competition 0.5,29,Greedy,0.912156404447734,1.0,40,5,0,5,1.0,5.456466267258489,1.0,1.0
Competition 0.5,29,Threshold_6,0.912156404447734,1.0,40,5,0,5,1.0,7.895627750590897,2.4,2.4
Competition 0.5,29,Threshold_8,0.912156404447734,1.0,40,5,0,5,1.0,9.249522023747158,6.6,6.6
Competition 0.5,29,Optimal_Stopping,0.912156404447734,1.0,40,5,0,5,1.0,6.872677301962173,19.0,19.0
Competition 0.5,30,Greedy,0.850839673151318,1.0,40,5,0,5,1.0,3.9501813552546365,1.0,1.0
Competition 0.5,30,Threshold_6,0.850839673151318,1.0,40,5,0,5,1.0,7.37804229475225,3.0,3.0
Competition 0.5,30,Threshold_8,0.850839673151318,1.0,40,5,0,5,1.0,7.784854943485632,11.6,11.6
Competition 0.5,30,Optimal_Stopping,0.850839673151318,1.0,40,5,0,5,1.0,7.26844741295825,15.2,15.2
Competition 0.5,31,Greedy,0.8490452584687248,1.0,40,5,0,5,1.0,5.60571719513587,1.0,1.0
Competition 0.5,31,Threshold_6,0.8490452584687248,1.0,40,5,0,5,1.0,8.058551031371579,5.0,5.0
Competition 0.5,31,Threshold_8,0.8490452584687248,1.0,40,5,0,5,1.0,7.977694012207789,10.2,10.2
Competition 0.5,31,Optimal_Stopping,0.8490452584687248,1.0,40,5,0,5,1.0,3.0178174267566638,33.0,33.0
Competition 0.5,32,Greedy,0.879210754041744,1.0,40,5,0,5,1.0,5.040790910470774,1.0,1.0
Competition 0.5,32,Threshold_6,0.879210754041744,1.0,40,5,0,5,1.0,7.3466353809457345,2.8,2.8
Competition 0.5,32,Threshold_8,0.879210754041744,1.0,40,5,0,5,1.0,9.303441245967681,8.8,8.8
Competition 0.5,32,Optimal_Stopping,0.879210754041744,1.0,40,5,0,5,1.0,6.560592798211145,19.6,19.6
Competition 0.5,33,Greedy,0.9221728426117917,1.0,40,5,0,5,1.0,5.482428972724934,1.0,1.0
Competition 0.5,33,Threshold_6,0.9221728426117917,1.0,40,5,0,5,1.0,7.189608523258725,2.2,2.2
Competition 0.5,33,Threshold_8,0.9221728426117917,1.0,40,5,0,5,1.0,7.209579245359812,19.8,19.8
Competition 0.5,33,Optimal_Stopping,0.9221728426117917,1.0,40,5,0,5,1.0,4.551195326318238,33.8,33.8
Competition 0.5,34,Greedy,0.9143442082562818,1.0,40,5,0,5,1.0,5.676650653274542,1.0,1.0
Competition 0.5,34,Threshold_6,0.9143442082562818,1.0,40,5,0,5,1.0,8.11983095839496,6.0,6.0
Competition 0.5,34,Threshold_8,0.9143442082562818,1.0,40,5,0,5,1.0,6.345278857132053,18.2,18.2
